City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
24,Mao,ES,2022-11-28 23:42:15,39.8885,4.2658,55.96,71,40,19.57
25,Puerto Ayora,EC,2022-11-28 23:42:16,-0.7393,-90.3518,71.55,86,92,4.0
26,Kaitangata,NZ,2022-11-28 23:40:21,-46.2817,169.8464,58.08,71,100,8.08
27,Acapulco,MX,2022-11-28 23:36:15,16.8634,-99.8901,84.02,70,40,5.75
28,Hobart,AU,2022-11-28 23:41:37,-42.8794,147.3294,56.26,63,75,5.99
29,Bredasdorp,ZA,2022-11-28 23:39:07,-34.5322,20.0403,62.19,95,34,4.72
30,Ushuaia,AR,2022-11-28 23:35:06,-54.8,-68.3,62.26,34,40,12.66
31,Astorga,BR,2022-11-28 23:42:17,-23.2325,-51.6656,71.83,83,55,10.87
32,Tuatapere,NZ,2022-11-28 23:42:18,-46.1333,167.6833,56.64,84,97,2.39
33,Carnarvon,AU,2022-11-28 23:37:50,-24.8667,113.6333,75.81,68,0,11.16
34,Anadyr,RU,2022-11-28 23:42:18,64.75,177.4833,28.9,92,100,29.08
35,Vung Tau,VN,2022-11-28 23:42:19,10.346,107.0843,79.99,82,54,14.63
36,Fortuna,US,2022-11-28 23:42:09,40.5982,-124.1573,50.67,80,75,11.5
37,Ribeira Grande,PT,2022-11-28 23:42:19,38.5167,-28.7,66.78,92,99,21.0
38,Richards Bay,ZA,2022-11-28 23:42:20,-28.783,32.0377,65.73,81,90,2.39
39,Saint George,US,2022-11-28 23:42:20,37.1041,-113.5841,54.25,33,0,3.44
40,Naryan-Mar,RU,2022-11-28 23:42:21,67.6713,53.087,15.31,96,84,7.74
41,Kushmurun,KZ,2022-11-28 23:42:21,52.4503,64.6311,9.54,81,100,7.54
42,Fairbanks,US,2022-11-28 23:40:34,64.8378,-147.7164,-1.86,74,20,9.22
43,Padang,ID,2022-11-28 23:42:21,-0.9492,100.3543,77.54,84,97,3.27
44,Namatanai,PG,2022-11-28 23:43:22,-3.6667,152.4333,86.4,62,87,5.84
45,Tautira,PF,2022-11-28 23:43:22,-17.7333,-149.15,77.79,78,12,10.54
46,Naze,JP,2022-11-28 23:43:23,28.3667,129.4833,74.32,83,98,10.67
47,Dese,ET,2022-11-28 23:43:23,11.1333,39.6333,49.95,80,86,2.59
48,Albany,US,2022-11-28 23:39:12,42.6001,-73.9662,37.89,80,57,1.99
49,Faanui,PF,2022-11-28 23:39:08,-16.4833,-151.75,79.21,73,5,9.13
50,Florence,IT,2022-11-28 23:43:24,43.7667,11.25,49.73,87,75,3.44
51,Diveyevo,RU,2022-11-28 23:43:24,55.0433,43.2418,11.32,90,48,5.26
52,Hachinohe,JP,2022-11-28 23:43:24,40.5,141.5,58.77,71,100,10.07
53,Jamestown,US,2022-11-28 23:39:05,42.097,-79.2353,36.99,67,100,1.01
54,Ponta Do Sol,PT,2022-11-28 23:43:25,32.6667,-17.1,68.72,72,36,6.26
55,Esperance,AU,2022-11-28 23:41:43,-33.8667,121.9,63.39,58,0,9.44
56,Udachnyy,RU,2022-11-28 23:41:38,66.4167,112.4,-29.49,100,97,3.24
57,Nikolskoye,RU,2022-11-28 23:37:51,59.7035,30.7861,26.49,97,94,4.14
58,Guerrero Negro,MX,2022-11-28 23:40:59,27.9769,-114.0611,64.02,72,4,15.21
59,Rikitea,PF,2022-11-28 23:34:19,-23.1203,-134.9692,73.78,79,40,10.11
60,Angoram,PG,2022-11-28 23:43:26,-4.0625,144.0661,81.36,89,93,2.19
